Wavelength (nm),[θ]
80.0,-5.709238155570758e-170
81.0,-8.551113977848856e-162
82.0,-5.2058642963235396e-154
83.0,-1.351951518002585e-146
84.0,-1.5670377676445977e-139
85.0,-8.458155124854459e-133
86.0,-2.2122878179639324e-126
87.0,-2.9108155041158273e-120
88.0,-1.9955007214390676e-114
89.0,-7.367135872530264e-109
90.0,-1.510956181615306e-103
91.0,-1.7726286673752236e-98
92.0,-1.2228290311991242e-93
93.0,-5.090701594346121e-89
94.0,-1.3106703308743127e-84
95.0,-2.1357655656370566e-80
96.0,-2.25132260245899e-76
97.0,-1.5671163217646916e-72
98.0,-7.345281669403132e-69
99.0,-2.36136912941583e-65
100.0,-5.298353787390252e-62
101.0,-8.435461277900955e-59
102.0,-9.679597475227163e-56
103.0,-8.124934259551372e-53
104.0,-5.059356833831876e-50
105.0,-2.3684695391585226e-47
106.0,-8.441614262102818e-45
107.0,-2.318344858574439e-42
108.0,-4.962182819765381e-40
109.0,-8.367773738031502e-38
110.0,-1.1231994864266244e-35
111.0,-1.2118849108199843e-33
112.0,-1.0608741241976524e-31
113.0,-7.60167324967413e-30
114.0,-4.496323309351403e-28
115.0,-2.2130664246230444e-26
116.0,-9.133570156045524e-25
117.0,-3.1839080287672757e-23
118.0,-9.43998594176219e-22
119.0,-2.3963513890189854e-20
120.0,-5.24135092613389e-19
121.0,-9.937329334519781e-18
122.0,-1.6425986167194723e-16
123.0,-2.3802244910767066e-15
124.0,-3.0395699105297254e-14
125.0,-3.4379254541190717e-13
126.0,-3.4606514578769985e-12
127.0,-3.114533852764519e-11
128.0,-2.517174438575794e-10
129.0,-1.8346327121155409e-09
130.0,-1.2107506726502825e-08
131.0,-7.262937423676474e-08
132.0,-3.9749926828161606e-07
133.0,-1.99194599822977e-06
134.0,-9.171217747802715e-06
135.0,-3.892421303612669e-05
136.0,-0.00015277038402669414
137.0,-0.000556185507142113
138.0,-0.0018838705127171694
139.0,-0.00595362219597722
140.0,-0.01760432437065602
141.0,-0.04883572643673166
142.0,-0.12743044613223728
143.0,-0.31356534742135134
144.0,-0.7294036389183385
145.0,-1.607750669859861
146.0,-3.3655832002019213
147.0,-6.705284987121269
148.0,-12.739271009394498
149.0,-23.12115043312235
150.0,-40.14819182227531
151.0,-66.77637665891797
152.0,-106.46332508360821
153.0,-162.7309362344158
154.0,-238.32708832186643
155.0,-333.8761734739729
156.0,-445.95595126973893
157.0,-564.6360260621212
158.0,-670.6656812478136
159.0,-732.693767494086
160.0,-705.1061247095705
161.0,-527.2198437081819
162.0,-124.61023439036694
163.0,586.7940890207784
164.0,1693.5567951159724
165.0,3274.750582988129
166.0,5389.989454894103
