Wavelength (nm),[θ]
80.0,8.633586174627219e-116
81.0,5.039328729172668e-109
82.0,1.2934060754178107e-102
83.0,1.5275613560523737e-96
84.0,8.662101565372385e-91
85.0,2.4541407575379475e-85
86.0,3.606074513034821e-80
87.0,2.8459764501857774e-75
88.0,1.2466896723735975e-70
89.0,3.1262069675237284e-66
90.0,4.61960466231701e-62
91.0,4.133944141058975e-58
92.0,2.2984938122522186e-54
93.0,8.134600142111025e-51
94.0,1.8746987734370171e-47
95.0,2.8744278324029473e-44
96.0,2.9921956233606945e-41
97.0,2.1555010753019763e-38
98.0,1.094125004252732e-35
99.0,3.9806782138824036e-33
100.0,1.0549414809427848e-30
101.0,2.0678357112252155e-28
102.0,3.041625919888502e-26
103.0,3.403749661461784e-24
104.0,2.935809965113493e-22
105.0,1.9760184810300052e-20
106.0,1.0501682765900424e-18
107.0,4.456570469855268e-17
108.0,1.5263745231318075e-15
109.0,4.262622848711316e-14
110.0,9.801531857195683e-13
111.0,1.8731893728033268e-11
112.0,3.0022474056255964e-10
113.0,4.070454385243135e-09
114.0,4.707412736161096e-08
115.0,4.680994999539462e-07
116.0,4.033183143874278e-06
117.0,3.0332641272990283e-05
118.0,0.00020052954838560946
119.0,0.001173141326609714
120.0,0.006111621235977275
121.0,0.02851983228346829
122.0,0.11986213635666565
123.0,0.455958942952995
124.0,1.5770554639090821
125.0,4.979969488320461
126.0,14.410262284738758
127.0,38.33842410830562
128.0,94.06571506338405
129.0,213.4362257299593
130.0,449.0107891921834
131.0,877.877553306638
132.0,1598.7290762007808
133.0,2717.7216841850836
134.0,4321.257011037144
135.0,6439.427433093728
136.0,9010.702026687202
137.0,11862.940658025975
138.0,14724.317687404753
139.0,17268.855027949863
140.0,19187.62197160616
141.0,20264.222656402348
142.0,20428.36520159427
143.0,19767.33799582753
144.0,18490.160960143865
145.0,16856.708661141278
146.0,15096.704483107103
147.0,13346.123784707626
148.0,11620.801974031128
149.0,9832.825352300051
150.0,7840.584297166112
151.0,5513.503403104638
152.0,2790.103088787649
153.0,-287.26295669117025
154.0,-3568.6612475586303
155.0,-6821.774864769094
156.0,-9776.565483105749
157.0,-12176.410451374193
158.0,-13823.23494019447
159.0,-14607.656141024503
160.0,-14520.066584448092
161.0,-13643.379676359566
162.0,-12131.751002290539
163.0,-10181.467371044311
164.0,-8000.389494249221
165.0,-5781.236347054424
166.0,-3682.166198912591
167.0,-1816.0896147321885
168.0,-248.37207058063854
169.0,998.6915596832562
170.0,1936.9278968353933
171.0,2601.2820796088026
172.0,3038.8757796531295
173.0,3299.6718553863398
174.0,3429.624567634407
175.0,3466.567420679459
176.0,3438.5970496665236
177.0,3364.3964834024455
178.0,3254.8071052030978
179.0,3114.9766618835442
180.0,2946.5338465528826
181.0,2749.416779038332
182.0,2523.167341090842
183.0,2267.662141769781
184.0,1983.3647116416798
185.0,1671.2466485990085
186.0,1332.5425013819595
187.0,968.485145796841
188.0,580.1287241891946
189.0,168.31777119063636
190.0,-266.1856423144407
191.0,-722.4429544152645
192.0,-1199.0000916197032
193.0,-1693.5322525486556
194.0,-2202.5362589516767
195.0,-2721.1243940767354
196.0,-3242.9572022136977
197.0,-3760.3329160329763
198.0,-4264.430987103725
199.0,-4745.689088347528
200.0,-5194.2787566090055
201.0,-5600.635665930545
202.0,-5955.996788681094
203.0,-6252.898202243099
204.0,-6485.593302472735
205.0,-6650.360584563625
206.0,-6745.681628317808
207.0,-6772.282113156967
208.0,-6733.04032728734
209.0,-6632.777686714555
210.0,-6477.95350524801
211.0,-6276.29125181273
212.0,-6036.365716401778
213.0,-5767.180081862804
214.0,-5477.759280159189
215.0,-5176.781748640916
216.0,-4872.266400521914
217.0,-4571.325877396682
218.0,-4279.991486006266
219.0,-4003.1100587255987
220.0,-3744.3086179451457
221.0,-3506.0193456937072
222.0,-3289.5550255808103
223.0,-3095.2238045102104
224.0,-2922.471715989139
225.0,-2770.0417680170967
226.0,-2636.139355087116
227.0,-2518.595129107456
228.0,-2415.018090702986
229.0,-2322.9333924351863
230.0,-2239.9010563766255
231.0,-2163.6134053575147
232.0,-2091.970422748887
233.0,-2023.1334478842318
234.0,-1955.5585631659383
235.0,-1888.0117326220652
236.0,-1819.5682222117457
237.0,-1749.5990916380058
238.0,-1677.7476244875768
239.0,-1603.8984903845435
240.0,-1528.1422427672221
241.0,-1450.7374812037021
242.0,-1372.072677796415
243.0,-1292.6293097369944
244.0,-1212.9475769890892
245.0,-1133.595633622657
246.0,-1055.1429374044596
247.0,-978.1380346578513
248.0,-903.0908521821842
249.0,-830.4593679369989
250.0,-760.6403772845505
251.0,-693.9639597163055
252.0,-630.6911784269954
253.0,-571.0145070207418
254.0,-515.0604685983233
255.0,-462.89398682671856
256.0,-414.523980785153
257.0,-369.9097802277477
258.0,-328.9679907491001
259.0,-291.57949517771857
260.0,-257.59633504333675
261.0,-226.84827155913453
262.0,-199.14887729004892
263.0,-174.30105621512766
264.0,-152.10193044009054
265.0,-132.3470660289472
266.0,-114.83403831325259
267.0,-99.36535889153396
268.0,-85.75080283294963
269.0,-73.80918595835915
270.0,-63.36964916731617
271.0,-54.272510310052496
272.0,-46.36974475258
273.0,-39.52515419081049
274.0,-33.61428001541941
275.0,-28.524113120873917
276.0,-24.152646921318134
277.0,-20.408314838745774
278.0,-17.20934794879158
279.0,-14.483083024041575
280.0,-12.16524606300132
281.0,-10.199231643240866
282.0,-8.535394156269605
283.0,-7.1303632017893745
284.0,-5.946392145931084
285.0,-4.950746067682292
286.0,-4.115133001458949
287.0,-3.41518049370153
288.0,-2.8299579839901083
289.0,-2.341544350564762
290.0,-1.934639080367876
291.0,-1.5962148905563065
292.0,-1.315209200538554
293.0,-1.0822515933208319
294.0,-0.8894242787156532
295.0,-0.7300525494147291
296.0,-0.5985222788370438
297.0,-0.4901216257555919
298.0,-0.4009042673435944
299.0,-0.3275716651021324
300.0,-0.26737206567402927
301.0,-0.218014141861998
302.0,-0.17759338144298642
303.0,-0.14452952758760332
304.0,-0.11751356131418349
305.0,-0.09546289108728342
306.0,-0.07748357601610194
307.0,-0.06283855646477211
308.0,-0.05092099915913876
309.0,-0.04123198338259885
310.0,-0.03336186120743809
311.0,-0.026974718713747858
312.0,-0.02179544772948547
313.0,-0.017599009765800293
314.0,-0.014201536519042011
315.0,-0.011452965544320948
316.0,-0.009230956413175376
317.0,-0.007435872731248389
318.0,-0.0059866496263491
319.0,-0.00481739546763894
320.0,-0.003874601315815303
321.0,-0.0031148525342601227
322.0,-0.0025029546467383187
323.0,-0.0020104003794453413
324.0,-0.0016141172864560548
325.0,-0.0012954457869178173
326.0,-0.0010393061504891147
327.0,-0.0008335202223643046
328.0,-0.0006682597104779839
329.0,-0.0005355978614005628
330.0,-0.0004291454950344535
331.0,-0.0003437557931315112
332.0,-0.000275285062585549
333.0,-0.0002203990222788476
334.0,-0.00017641607672649315
335.0,-0.00014118061187601012
336.0,-0.00011296063752844552
337.0,-9.036515642869189e-05
338.0,-7.227750328480398e-05
339.0,-5.7801601979691726e-05
340.0,-4.6218664331329724e-05
341.0,-3.6952322332980986e-05
342.0,-2.9540567167767963e-05
343.0,-2.3613178344382183e-05
344.0,-1.8873578120639357e-05
345.0,-1.5084250706871348e-05
346.0,-1.2055031375254078e-05
347.0,-9.633704751123794e-06
348.0,-7.698460120263672e-06
349.0,-6.151839362750988e-06
350.0,-4.915884042262986e-06
351.0,-3.9282454349322675e-06
352.0,-3.1390674734665858e-06
353.0,-2.5084898229005755e-06
354.0,-2.004648309126711e-06
355.0,-1.6020740813034902e-06
356.0,-1.2804123314805322e-06
357.0,-1.023397031789602e-06
358.0,-8.180307193953009e-07
359.0,-6.539284585788392e-07
